id,keywords,year
13,"Dämmerung,Witwe,Trauer,Niederlande,Adel,Repräsentationsbild,Standesporträt",1660
18,"Ideallandschaft,Rhein,Main,Rhein-Main-Gebiet,Weingut,Weinberg,Staffage,Idylle,Studienreise,Magd,Knecht,Adel,Händler,Handel,Bauer,Sommer,Spätsommer,Pause,Rast,Reise,Arbeit,Freizeit,Urlaub,Handwerk,Fähre,Fantasie,Gegenstück,Kommunikation,Aostatal",1760
19,"Gegenstück,Ideallandschaft,Rhein,Main,Rhein-Main-Gebiet,Staffage,Idylle,Knecht,Magd,Bauer,Adel,Alltag,Handel,Händler,Wanderung,Reise,Sommer,Spätsommer,Rast,Pause,Arbeit,Handwerk,Freizeit,Hafen,Seemann,Kommunikation,Weinberg,Bauer",1760
26,"Hirtin,Adel,Reichtum,Pose,Inszenierung,Präsentation,Repräsentation,Repräsentationsbild,Schwester,Geschwister,Gegenstück,Seide",1660
77,"Niederlande,Künstlerporträt,Ehepaar,Sozialstatus,Bürgertum",1630
78,"Ehefrau,Niederlande,Sozialstatus,Bürgertum,Handschuh",1630
100,"Fährmann,Kanal,Reise,Handel,Händler,Bauer,Bürgertum,Hafenstadt,Niederlande,Hafen,Rhenen,Rhein,Grote of Sint-Vituskerk (Naarden),Lichtreflex,Sommer,Urlaub,Geschäftigkeit,Idylle",1660
102,"Soldat,Indigenes Volk,Säule,Hausmantel,Adel,Toga,Handel,Kaufmann,Reise,Kolonie,Botschaft,Schifffahrt,Orient,Abend,Stand,Reichtum,Kimono,Exotik,Luxus,Geschäftigkeit,Seide",1680
143,"Studie,Goldenes Zeitalter (Niederlande),Mutter,Mutter-Kind-Beziehung,Fürsorge,Wunder,Stern,Geburt,Weihnachtsgeschichte,Empfängnis,Schwangerschaft,Familie,Bewunderung,Engel,Putto,Marienleben",1650
165,"Abend,Dämmerung,Pause,Antike,Italien,Sarkophag,Kulisse,Ideallandschaft,Idylle,Bauer,Schäfer,Paar,Hirtenfamilie,Naturalismus,Alltag,Staffage,Landleben,Wasserspeier",1660
166,"Vanitas,Lebensalter,Selbstporträt,Niederlande,Marmor,Studie,Akt,Antike,Vergänglichkeit,Beschädigung,Expressivität (Kunst),Paragone,Requisite,Staffage,Stand,Hobby,Freizeit,Beruf,Handwerk,Gips,Bildhauer,Malerei,Schönheit,Idee,Liebe,Seide",1670
