year,date,titel,titelEN,text,textEN,extra,extraEN,link,kategorie
1775,07.11.1775,Ankunft in Weimar,,Goethe kommt auf Einladung des jungen Fürsten Carl August nach Weimar.,,Die beiden verbindet eine lebenslange Freundschaft bis zu Carl Augusts Tod im Jahr 1828.,,,Biographie
1775,11.11.1775,Begegnung mit Charlotte von Stein,,Goethe empfindet schwärmerische Liebe für die Weimarer Hofdame und schreibt ihr über 1700 Briefe.,,"Die heimliche Abreise des Dichters nach Italien führt 1786 zum Bruch, der nie wieder ganz zu kitten ist.",,,Biographie
1776,25.06.1776,Goethe wird Geheimer Rat,,Carl August beruft Goethe in das Geheime Consilium des Fürstentums.,,Außerdem erhält Goethe das Gartenhaus im Park an der Ilm als Geschenk.,,,Biographie
1777,08.06.1777,Tod der Schwester,,Goethes Schwester Cornelia stirbt im badischen Emmendingen.,,,,,Biographie
1778,1778,Erste Ausleihe aus der Bibliothek,,Goethes früheste dokumentierte Ausleihe aus der herzoglichen Bibliothek - es handelt sich um ein Buch des Holländers Romeyn de Hooghe über Hieroglyphen.,,Mehr als 2300 Entleihungen werden bis zu Goethes Tod folgen.,,,Biographie
1779,1779,Reise in die Schweiz,,Goethe begleitet den Herzog auf eine Reise in die Schweiz.,,Vor der Abreise vernichtet Goethe einen großen Teil seiner Papiere.,,,Biographie
1782,02.06.1782,Einzug am Frauenplan,,Goethe mietet das große Haus am Weimarer Frauenplan; später bekommt er es von Carl August geschenkt.,,Heute beherbergt der repräsentative Bau aus dem frühen 18. Jahrhundert das Goethe-Nationalmuseum.,,,Biographie
1783,1783,Ziehsohn Fritz von Stein,,Goethe nimmt den Sohn der von ihm geliebten Charlotte von Stein zu sich und zieht ihn auf.,,,,,Biographie
1784,1784,Goethe entdeckt den Zwischenkieferknochen,,Goethe betreibt anatomische Studien und entdeckt am Skelett eines Kindes den bisher unbekannten Knochen.,,"Das ""Fehlen"" dieses Knochens beim Menschen galt zuvor als Merkmal, das ihn vom Tier unterschied.",,,Biographie
1786,03.09.1786,Italienreise,,"Goethe bricht heimlich von Karlsbad zu der Reise auf, die sein Leben verändern wird.",,Sie wird von ihm als menschliche und künstlerische Erneuerung erfahren.,,,Biographie
1787,1787,Weiter nach Süden,,Von Rom aus reist Goethe nach Neapel und dann nach Sizilien weiter.,,Im Sommer kehrt er nach Rom zurück.,,,Biographie
1788,18.06.1788,Rückkehr aus Italien und neue Liebe,,Trotz seiner heimlichen Abreise behält Carl August Goethe an seinem Hof; Kurz nach der Rückkehr beginnt sein Verhältnis mit der 1765 geborenen Christiane Vulpius.,,"Da sie selbst ""nur"" dem Bürgertum entstammt und mit Goethe nicht verheiratet ist, vermeidet der Hof sie; Goethe muss sie im Haus verstecken.",,,Biographie
1789,25.12.1789,Geburt des Sohnes August von Goethe,,Das erste und einzig überlebende Kind von Goethe und Christiane Vulpius kommt zur Welt.,,"Obwohl August unehelich geboren ist, wird er auf Goethes Betreiben später vom Herzog legitimiert.",,,Biographie
1791,1791,Experimente zur Farbenlehre,,Erste Versuche mit einem Prisma begründen Goethes neues wissenschaftliches Interesse.,,Mit seinen Forschungen sucht er die vermeintlich falschen Theorien Isaac Newtons zu widerlegen.,,,Biographie
1792,23.08.1792,Kampagne in Frankreich,,Auf Wunsch des Herzogs reist Goethe mit ihm in einen Feldzug gegen die französischen Revolutionstruppen.,,Nach der Niederlage bei Valmy im September zieht sich das Weimarische Heer geschlagen zurück.,,,Biographie
1793,1793,Belagerung von Mainz,,Als Begleiter von Carl August erlebt Goethe die Bombardierung der ersten deutschen Republik.,,"Von französischen Truppen geschützt, hatten die Mainzer Jakobiner ein eigenes Staatswesen aufgebaut. ",,,Biographie
1794,20.07.1794,Beginn der Freundschaft mit Schiller,,Nach einigen misslingenden Versuchen werden beide in Jena zu engen Freunden und Arbeitspartnern.,,"Goethe nennt die Begegnung im Haus des Anatomen Loder später ein ""Glückliches Ereignis"".",,,Biographie
1796,1796,Der Xenienstreit,,"In ihren Xenien, in der antiken Versformen abgefassten Spottgedichten, verspotten Goethe und Schiller den deutschen Literaturbetrieb.",,Mit den scharfzüngigen Gedichten machen sie sich viele Feinde.,,,Biographie
1797,1797,In der Bibliothek,,Gemeinsam mit Christian Gottlob Voigt wird Goethe zum Oberaufseher der herzoglichen Bibliothek.,,Nach Voigts Tod 1819 führt Goethe die Geschäfte bis zu seinem Tod allein weiter.,,,Biographie
1798,1798,Ein eigenes Landgut,,Goethe kauft ein eigenes Landgut in Oberroßla bei Apolda.,,1803 muss er es mit großem Verlust wiederverkaufen.,,,Biographie
1801,03.01.1801,In Lebensgefahr,,Goethe erkrankt an einer schweren Gürtelrose und schwebt in Lebensgefahr.,,Die Genesung erfolgt nur langsam.,,,Biographie
1803,20.12.1803,Herder stirbt,,"Johann Gottfried Herder, Freund seit der Straßburger Studienzeit, stirbt in Weimar.",,Beide waren am Ende tief zerstritten; zu einer Versöhnung kam es nicht mehr.,,,Biographie
1805,09.05.1805,Schiller stirbt,,Goethe erlebt den Tod des Freundes als tiefen Verlust. Der Beerdigung bleibt er fern.,,"Goethe versucht vergeblich, Schillers Fragment gebliebenes Drama Demetrius zu Ende zu schreiben.",,,Biographie
1806,19.10.1806,Heirat mit Christiane Vulpius,,"Goethe heiratet seine langjährige Geliebte, nachdem sie das Haus am Frauenplan vor Plünderungen bewahrt hat.",,,,,Biographie
1808,1808,Begegnung mit Napoleon,,Bei einer Audienz in Erfurt empfängt der französische Kaiser Goethe und Christoph Martin Wieland.,,"Den Orden, den Goethe bei dieser Begegnung erhält, trägt er stolz bis ans Lebensende - also auch nach Napoleons Niederlage.",,,Biographie
1810,1810,Freundschaft mit Sulpiz Boisserée,,Mit dem Kölner Sammler tauscht sich Goethe regelmäßig über Kunst und Architektur aus.,,Boisserée gehört zu Goethes wichtigsten Freunden und Anregern in der zweiten Liebeshälfte.,,,Biographie
1812,21.07.1812,Begegnung mit Beethoven,,"Goethe lernt in Teplitz den Komponisten kennen, der ihm auf dem Klavier vorspielt.",,,,,Biographie
1813,20.01.1813,Tod Wielands,,Der langjährige Weimarer Genosse stirbt zu Beginn des Jahres.,,Dies führt bei Goethe zu einer Phase des Nachdenkens über Tod und Unsterblichkeit.,,,Biographie
1815,1815,Liebe zu Marianne von Willemer,,Goethe verliebt sich in die sehr viel jüngere Gattin des Frankfurter Bankiers Jacob von Willemer.,,Die zwischen beiden gewechselten Briefe und Gedichte fließen in den West-östlichen Divan ein.,,,Biographie
1816,06.06.1816,Christiane stirbt,,Den Tod seiner Frau erlebt Goethe als schweren Verlust. Aber auch an ihrer Beerdigung nimmt er nicht teil.,,,,,Biographie
